Comment;date;symbol;drawdown_open_1;maxrunup_open_1;open;volume;gap;adr;;eps_estimate;reported_eps;surprise_pct;total_revenue;numberOfFunds;marketCapitalizationPrimary;numberOfFunds_prev;earnings_acceleration;sales_acceleration;atr;vwap;close_ma_10;ema_12;ema_26;MACD;signal;hist;close_ma_20;volume_avg_10
;2023-11-28 00:00:00+00:00;PDD;-1,59;7,11;135,25;29597100;14,89;4,05;;7,28;10,47;43,88;52280748000;1482;1,98664E+11;1510;0;38,91;41,99;303,6;118,26;118,42;112,92;5,5;3,71;1,8;112,37;10136180
;2023-11-13 00:00:00+00:00;PEN;-4,43;11,62;211,87;1556300;16,77;7,93;;0,45;0,67;47,32;261499000;803;8667504000;654;0;8,33;42,11;222,18;194,12;195,64;204,38;-8,74;-10,81;2,08;197,78;683610
;2023-11-09 00:00:00+00:00;DUOL;-0,54;22,59;185;3446400;10,6;9,26;;-0,11;0,06;155,56;126839000;436;9294957000;381;0;9,66;63,35;114,63;158,32;164,14;160,43;3,7;-0,35;4,06;158,41;930910
;2023-11-07 00:00:00+00:00;DDOG;-2,85;18,92;98,99;29134800;24,44;3,66;;0,34;0,45;32,1;509460000;1553;37533896700;1534;25;5,76;26,62;-106,13;82,9;85,38;86,54;-1,16;-2,36;1,2;85,55;7714660
;2023-11-03 00:00:00+00:00;PODD;-2,85;24,92;156;2593200;11,08;7,27;;0,4;0,71;76,54;396500000;1838;12968270800;1688;0;10,72;43,18;241,19;140,03;142,14;146,77;-4,63;-7,79;3,17;139,84;1324460
Retrace same day;2023-11-02 00:00:00+00:00;ELF;-14,44;14,85;105,58;5094100;11,68;5,57;;0,53;0,82;56,06;216339000;660;6523970000;557;0;15,47;24;74,14;101,96;100,99;104,52;-3,54;-3,21;-0,33;102,62;1942010
;2023-10-31 00:00:00+00:00;RGEN;-5,79;21,29;134,65;2277100;17,94;6,51;;0,17;0,23;38,68;159169000;1066;8760040000;992;-56,6;-12,86;53,79;174,68;133,35;134,1;143,32;-9,22;-7,16;-2,06;143,27;1078800
Draw over low;2023-10-27 00:00:00+00:00;DXCM;-8,65;24,11;92,73;14954600;14,35;4,13;;0,34;0,5;46,74;871300000;2692;43351052300;2586;0;17,51;21,43;102,6;84,27;84,75;87,12;-2,38;-3,66;1,28;84,1;6394270
;2023-10-27 00:00:00+00:00;DECK;-0,39;20,92;545,19;1835700;12,51;14,11;;4,43;6,82;53,82;675791000;1400;16767726600;987;0;-14,63;100,98;382,63;508,25;510,57;510,68;-0,11;-4,81;4,7;505,88;536370
;2023-10-20 00:00:00+00:00;XRTX;-17,69;46,41;46,25;1133170;63,61;6,25;;-1,34;-0,79;41,04;0;1;5994000;1;0;;47,47;76,78;27,52;32,05;36,71;-4,65;-6,14;1,49;35,34;125397,1
;2023-10-19 00:00:00+00:00;NFLX;-3,08;15,45;404,74;28074400;16,91;10,31;;3,49;3,73;6,95;8187301000;3530;2,09648E+11;3298;0;0,32;64,22;-7335,04;368,81;371;380,93;-9,93;-12,01;2,08;373,5;8874350
;2023-10-06 00:00:00+00:00;TTOO;-2,68;48,21;22,4;1365974;15,46;4,46;;-0,27;-0,08;70;1964000;10;12343200;18;0;-5,49;32;31,99;21,11;23,41;26,13;-2,72;-2,61;-0,11;25,64;670470,6
;2023-09-18 00:00:00+00:00;TTOO;-11,78;22,77;38,2;4242164;37,91;6,59;;-0,27;-0,08;70;1964000;10;12343200;18;0;-5,49;40;32,86;31,24;32,78;32,49;0,29;0,56;-0,27;34,61;855377,6
Retrace same day;2023-09-13 00:00:00+00:00;AXLA;-21,71;27,91;32,25;3650888;13,16;4,67;;-0,06;-0,05;16,67;0;21;3802920;23;0;;38,65;15,28;16;16,84;11,69;5,15;2,69;2,46;10,22;3083578
;2023-09-06 00:00:00+00:00;ROKU;-10,01;3,18;92,89;31718700;10,94;4,14;;-1,26;-0,76;39,73;847186000;832;15228440600;868;0;14,33;20,72;-350,15;80,42;81,45;80,27;1,17;0,81;0,36;80,14;7575590
;2023-08-21 00:00:00+00:00;PANW;-4,3;7,5;236,5;20268800;12,79;6,86;;1,28;1,44;12,15;1953300000;3019;85736670000;2575;0;18,02;52,86;185,2;216,4;221,67;227,37;-5,71;-6,05;0,35;227,8;6525670
;2023-08-15 00:00:00+00:00;TTOO;-9,11;55,56;45;3760622;15,38;6,21;;-0,27;-0,08;70;1964000;10;12343200;18;0;-5,49;52,7;29,31;33,87;32,82;24,42;8,4;5,18;3,22;22,77;2312514,6
Retrace same day;2023-08-09 00:00:00+00:00;AXON;-2,65;9,43;198,12;2983400;12,74;4,78;;0,62;1,11;78,82;374605000;1357;17015035900;977;0;9,2;32,49;170,99;182,58;184,03;186,3;-2,27;-3,54;1,27;184,62;894620
;2023-08-08 00:00:00+00:00;LLY;-0,65;11,05;506;15094500;11,43;8,73;;1,98;2,11;6,6;8312100000;4536;5,6161E+11;4334;30,25;19,43;103,66;339,15;460,35;463,93;457,72;6,21;2,64;3,57;456,14;3332070
;2023-08-07 00:00:00+00:00;TTOO;-29,21;122,22;31,5;1950334;26;3,93;;-0,27;-0,08;70;1964000;10;12343200;18;-93,94;-5,49;36,7;26,97;18,58;19,37;15,67;3,7;1,81;1,89;14,72;1583045,2
;2023-08-04 00:00:00+00:00;IRTC;0;9,03;109,48;1360200;12,29;3,77;;-0,78;-0,61;22,03;124130000;470;2617816580;478;0;11,39;22,86;122,45;103,91;103,97;103,67;0,29;-0,66;0,95;102,64;441470
