,date,open,high,low,close,volume,dividends,splits,eps_estimate,reported_eps,surprise_pct,Amortization,AmortizationOfIntangiblesIncomeStatement,AverageDilutionEarnings,BasicAverageShares,BasicEPS,CostOfRevenue,DepletionIncomeStatement,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EarningsFromEquityInterest,EarningsFromEquityInterestNetOfTax,ExciseTaxes,GainOnSaleOfBusiness,GainOnSaleOfPPE,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InsuranceAndClaims,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromTaxLossCarryforward,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherGandA,OtherIncomeExpense,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherTaxes,OtherunderPreferredStockDividend,PreferredStockDividends,PretaxIncome,ProvisionForDoubtfulAccounts,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,ResearchAndDevelopment,RestructuringAndMergernAcquisition,SalariesAndWages,SecuritiesAmortization,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff,total_revenue,symbol,numberOfFunds,marketCapitalizationPrimary,numberOfFunds_prev,gap,earnings_acceleration,sales_acceleration,highest_1,highest_1_index,lowest_1,drawdown_open_1,drawdown_low_1,maxrunup_open_1,maxrunup_close_1,win1
281,2023-06-08 00:00:00+00:00,1.62,1.62,1.34,1.4,37400,0.0,0.0,-0.25,0.08,132.39,,,,31700029.0,-0.56,23559317.0,,,,,31700029.0,-0.56,-17752016.0,-21346366.0,-21346366.0,,,,682996.0,,-52.0,20563305.0,18759058.0,,,,,,,-19304.0,-17752016.0,-17752016.0,-17732712.0,,,-17752016.0,-17752016.0,,-17732712.0,226151.0,226151.0,-21346314.0,-17751972.34,40105424.0,-21346366.0,42318375.0,20563305.0,-52.0,,-5505.0,,,,,-21120267.0,,23559317.0,,,,956105.0,,,,18586014.0,39149319.0,682996.0,-8.34,-3387555.0,0.16,63664741.0,-21346366.0,-226151.0,-52.0,-52.0,0.0,42318375.0,AACG,4.0,31093602.0,,20.0,0.0,-18.77,1.62,0.0,1.34,-17.28,0.0,0.0,15.71,0.0
322,2023-11-03 00:00:00+00:00,1.06,1.06,0.9,0.99,9600,0.0,0.0,-0.25,0.08,132.39,,,,31875869.0,-0.54,21934342.0,,,,,31875869.0,-0.54,-17212969.0,-21381674.0,-21381674.0,,,,682996.0,,-330.0,15740080.0,14307448.0,,,,,240246.0,240246.0,17210.0,-17212969.0,-17212969.0,-17230179.0,,,-17212969.0,-17212969.0,,-17230179.0,240246.0,240246.0,-21381344.0,-17212700.06,35689122.0,-21381674.0,36241790.0,15740080.0,-330.0,,-1553.0,,,,,-21141758.0,,21934342.0,,,,817931.0,,,,19132664.0,34872744.0,682996.0,-61.06,-3911579.0,0.19,57623464.0,-21381674.0,-226151.0,-330.0,-330.0,0.0,36241790.0,AACG,4.0,31093602.0,4.0,11.58,0.0,-14.36,1.1,1.0,0.9,-15.09,0.0,3.77,11.11,
326,2023-11-10 00:00:00+00:00,0.95,0.95,0.85,0.85,5400,0.0,0.0,-0.25,0.08,132.39,,,,31875869.0,-0.54,21934342.0,,,,,31875869.0,-0.54,-17212969.0,-21381674.0,-21381674.0,,,,682996.0,,-330.0,15740080.0,14307448.0,,,,,240246.0,240246.0,17210.0,-17212969.0,-17212969.0,-17230179.0,,,-17212969.0,-17212969.0,,-17230179.0,240246.0,240246.0,-21381344.0,-17212700.06,35689122.0,-21381674.0,36241790.0,15740080.0,-330.0,,-1553.0,,,,,-21141758.0,,21934342.0,,,,817931.0,,,,19132664.0,34872744.0,682996.0,-61.06,-3911579.0,0.19,57623464.0,-21381674.0,-226151.0,-330.0,-330.0,0.0,36241790.0,AACG,4.0,31093602.0,4.0,11.76,0.0,-14.36,0.98,7.0,0.8,-15.79,-5.88,3.16,15.29,
476,2023-05-30 00:00:00+00:00,4.14,4.23,3.99,4.06,5148000,0.0,0.0,0.08,0.05,-33.33,,,,28004000.0,-0.1,,,,,,28004000.0,-0.1,-2878000.0,,,,,,,,-3851000.0,3911000.0,,,,8347000.0,,14000000.0,,,-2218000.0,-2878000.0,-2218000.0,,,-2218000.0,-2218000.0,,-2218000.0,5653000.0,,,-2218000.0,,,1802000.0,1656000.0,,-1872000.0,,,,,660000.0,-2109000.0,,,,,,,,2255000.0,,,3911000.0,,0.0,109000.0,0.21,,,,14407000.0,14407000.0,,1802000.0,AAIC,28.0,136732928.0,,50.55,0.0,-81.53,4.54,20.0,3.99,-3.62,0.0,9.66,11.82,13.3
680,2023-04-25 00:00:00+00:00,11.99,13.0,11.5,12.36,1198600,0.0,0.0,0.27,0.66,141.47,2646000.0,2646000.0,,30793000.0,0.42,258667000.0,,2646000.0,2646000.0,,31239000.0,0.41,12798000.0,13250000.0,159111000.0,,,,,823000.0,,131445000.0,295694000.0,12933000.0,,4358000.0,4358000.0,,,,12798000.0,12798000.0,12798000.0,,,12798000.0,12798000.0,,12798000.0,-4358000.0,-4358000.0,186537000.0,34464540.0,255590000.0,40104000.0,554361000.0,3715000.0,-26854000.0,572000.0,124145000.0,,,,,8892000.0,,258667000.0,145861000.0,56279000.0,56279000.0,,7266000.0,131445000.0,,12955000.0,131445000.0,-27426000.0,-5759460.0,-3906000.0,0.21,514257000.0,12678000.0,8101000.0,-27426000.0,-27426000.0,20160000.0,554361000.0,AAN,354.0,272657700.0,,19.86,0.0,-6.58,13.57,3.0,11.5,-4.08,0.0,13.14,9.83,0.16
811,2023-06-22 00:00:00+00:00,4.7,4.7,3.59,3.77,6424000,0.0,0.0,-0.18,-0.25,-36.37,,,,28871857.0,-0.56,43786000.0,,,,,28871857.0,-0.56,-16292000.0,-14155000.0,-8826000.0,,,,,-3000.0,-237000.0,12548000.0,9244000.0,,,2137000.0,2137000.0,33000.0,33000.0,,-16292000.0,-16292000.0,-16292000.0,,,-16292000.0,-16292000.0,,-16292000.0,-2104000.0,-2104000.0,-8586000.0,-16052000.0,23293000.0,-14049000.0,53030000.0,12548000.0,-139000.0,101000.0,-118000.0,,,,,-16292000.0,,43786000.0,5329000.0,,,8536000.0,,,,2327000.0,14875000.0,-3000.0,0.0,,0.0,67079000.0,-14167000.0,,-240000.0,-240000.0,,53030000.0,AAOI,54.0,519180960.0,,12.73,0.0,-6.46,11.48,14.0,3.59,-23.51,0.0,144.52,204.51,125.99
829,2023-08-04 00:00:00+00:00,8.37,11.29,8.05,11.01,31716600,0.0,0.0,-0.28,-0.21,24.28,,,,29488561.0,-0.57,33717000.0,,,,,29488561.0,-0.57,-16944000.0,-14761000.0,-9568000.0,,,,,-4000.0,413000.0,12954000.0,7898000.0,,,2175000.0,2175000.0,37000.0,37000.0,,-16944000.0,-16944000.0,-16944000.0,,,-16944000.0,-16944000.0,,-16944000.0,-2138000.0,-2138000.0,-9977000.0,-17353000.0,23148000.0,-15250000.0,41615000.0,12954000.0,452000.0,43000.0,-715000.0,,,,,-16936000.0,,33717000.0,5193000.0,,,8640000.0,,,,2269000.0,15223000.0,-4000.0,0.0,8000.0,0.0,56865000.0,-15965000.0,,409000.0,409000.0,,41615000.0,AAOI,57.0,519180960.0,54.0,27.01,0.0,-21.53,16.26,14.0,8.05,-3.82,0.0,94.27,47.68,17.62
1344,2023-05-04 00:00:00+00:00,0.14,0.14,0.12,0.13,7793400,0.0,0.0,-0.01,-0.01,22.24,,,,137221408.0,-0.0,28212.0,,,,,137221408.0,-0.0,-550265.0,-409265.0,-381053.0,,,,,,193360.0,474113.0,-28212.0,,23864.0,141000.0,141000.0,58111.0,58111.0,,-550265.0,-550265.0,-550265.0,,,-550265.0,-550265.0,,-550265.0,-82889.0,-82889.0,-574413.0,-743625.0,632524.0,-660736.0,0.0,-54045.0,193360.0,219204.0,145955.0,-177200.0,,,,-550265.0,,28212.0,28212.0,9894.0,9894.0,,,494400.0,,12456.0,486569.0,177200.0,0.0,,0.0,660736.0,,,193360.0,193360.0,,0.0,AAU,9.0,19361884.0,,16.67,0.0,,0.14,0.0,0.12,-14.29,0.0,0.0,7.69,-7.69
1349,2023-06-08 00:00:00+00:00,0.14,0.14,0.12,0.13,278500,0.0,0.0,-0.01,-0.01,22.24,,,,137221408.0,-0.0,28212.0,,,,,137221408.0,-0.0,-550265.0,-409265.0,-381053.0,,,,,,193360.0,474113.0,-28212.0,,23864.0,141000.0,141000.0,58111.0,58111.0,,-550265.0,-550265.0,-550265.0,,,-550265.0,-550265.0,,-550265.0,-82889.0,-82889.0,-574413.0,-743625.0,632524.0,-660736.0,0.0,-54045.0,193360.0,219204.0,145955.0,-177200.0,,,,-550265.0,,28212.0,28212.0,9894.0,9894.0,,,494400.0,,12456.0,486569.0,177200.0,0.0,,0.0,660736.0,,,193360.0,193360.0,,0.0,AAU,9.0,19361884.0,,16.67,0.0,,0.14,0.0,0.12,-14.29,0.0,0.0,7.69,15.38
1468,2023-10-11 00:00:00+00:00,7.97,8.0,6.8,6.88,621800,0.0,0.0,-0.15,-0.16,-6.67,,,,43466521.0,-0.15,,,,,,43466521.0,-0.15,-7098762.0,-6970202.0,-6838908.0,,,,,199472.0,1945.0,2515055.0,,0.0,,128560.0,128560.0,,,,-7098762.0,-7098762.0,-7098762.0,,,-7098762.0,-7098762.0,,-7098762.0,-128560.0,-128560.0,-7040325.0,-7300179.0,7185619.0,-7185619.0,0.0,2515055.0,215417.0,14000.0,431041.0,,,,,-7098762.0,,,131294.0,,,4239523.0,,,,,2515055.0,199472.0,0.0,,0.0,7185619.0,,,201417.0,201417.0,,0.0,ABAT,0.0,199107200.0,0.0,15.67,0.0,,8.0,0.0,6.8,-14.68,0.0,0.38,16.28,-36.19
